Job_Title,Position,Employer,Province,Location,Skill,Seniority,Work_Type,Industry_Type,Avg_Salary
Senior Supply Chain Data Analysts,System Analyst,Royal Bank of Canada,Ontario,"Toronto, Ontario",No Specification,ANY,In-Person,Finance,77750
Senior Business Analysts,Analyst,Arc'teryx,British Columbia,"North Vancouver, British Columbia",EXCEL,Senior,In-Person,Others,90000
Senior Supply Chain Data Analysts,Analyst,Desjardins,Quebec,"Montreal, Quebec",SAS,ANY,In-Person,Others,77750
Senior Business Analysts,Business Analyst,Port of Vancouver,British Columbia,"Vancouver, British Columbia","EXCEL, JIRA",Senior,In-Person,Others,75250
Senior Business Analysts,Analyst,Arc'teryx,British Columbia,"North Vancouver, British Columbia",EXCEL,Senior,In-Person,Others,90000
Senior Supply Chain Data Analysts,Analyst,Desjardins,Quebec,"Montreal, Quebec",SAS,ANY,In-Person,Others,77750
Senior Business Intelligence Analysts,Analyst,Canadian Institute for Health Information,Ontario,"Toronto, Ontario","PYTHON, VUE, SAS, PYTHON",Senior,In-Person,Technology,78150
Senior Business Intelligence Analysts,Business Analyst,Scotiabank,Ontario,"Toronto, Ontario","SQL, GAP, EXCEL",ANY,In-Person,Finance,78150
Senior Business Analysts,Business Analyst,Royal Bank of Canada,British Columbia,"Vancouver, British Columbia","SQL, TABLEAU, EXCEL, GAP, SNOWFLAKE, TERADATA",Senior,In-Person,Finance,75250
Senior Supply Chain Data Analysts,Business Analyst,Vancouver Fraser Port Authority,British Columbia,"Vancouver, British Columbia","EXCEL, JIRA",Senior,In-Person,Technology,77750
Senior Business Intelligence Analysts,Analyst,Parkland Corporation,Alberta,"Calgary, Alberta","DATABASE, TABLEAU, POWER BI, SQL, EXCEL, PYTHON",ANY,In-Person,Real Estate,78150
Senior Business Intelligence Analysts,Analyst,Gowling WLG,Ontario,"Toronto, Ontario","POWER BI, EXCEL, DATABASE, SQL",ANY,In-Person,Others,64500
Senior Business Intelligence Analysts,Analyst,Allstate,Ontario,"Remote in South Dundas, Ontario","TABLEAU, EXCEL",ANY,Remote,Government,78150
Senior Business Intelligence Analysts,Analyst,Gowling WLG,Ontario,"Hamilton, Ontario","POWER BI, EXCEL, DATABASE, SQL",ANY,In-Person,Others,64500
Senior Business Analysts,Business Analyst,Foilcon,Ontario,"Toronto, Ontario","SQL, GAP, POWER BI",ANY,In-Person,Technology,75250
Senior Business Intelligence Analysts,Analyst,Gowling WLG,Ontario,"Ottawa, Ontario","POWER BI, EXCEL, DATABASE, SQL",ANY,In-Person,Others,64500
